,strat_id,instrument,open_time,open_price,close_time,close_price,dir,size,PnL,account_balance(t)
PY26BW,2,C:USDJPY,2024-05-24 09:50:00+00:00,157.01892537499998,2024-06-03 15:55:00+00:00,156,1,1,-1.0189253749999807,102.0897642000001
R9SK2Y,2,C:USDJPY,2024-05-24 10:05:00+00:00,156.98507527499999,2024-06-03 15:55:00+00:00,156,-1,1,0.9850752749999856,103.07483947500009
8P0BX4,2,C:USDJPY,2024-05-24 11:10:00+00:00,157.0159253,2024-06-03 15:55:00+00:00,156,1,1,-1.0159252999999921,102.0589141750001
1HZWYC,2,C:USDJPY,2024-05-24 11:45:00+00:00,157.00392499999998,2024-06-03 15:55:00+00:00,156,1,1,-1.003924999999981,101.05498917500012
FF3FJE,2,C:USDJPY,2024-05-24 14:05:00+00:00,156.97207559999998,2024-06-03 15:55:00+00:00,156,-1,1,0.9720755999999824,102.0270647750001
DPI31W,2,C:USDJPY,2024-05-24 14:25:00+00:00,157.00692507499997,2024-06-03 15:55:00+00:00,156,1,1,-1.0069250749999696,101.02013970000013
5H1BG9,2,C:USDJPY,2024-05-24 14:35:00+00:00,156.98507527499999,2024-06-03 15:55:00+00:00,156,-1,1,0.9850752749999856,102.00521497500011
3ICXM7,2,C:USDJPY,2024-05-24 14:55:00+00:00,156.98207534999997,2024-06-03 15:55:00+00:00,156,-1,1,0.9820753499999739,102.98729032500009
D7713K,2,C:USDJPY,2024-05-28 17:00:00+00:00,157.00692507499997,2024-06-03 15:55:00+00:00,156,1,1,-1.0069250749999696,101.98036525000012
JICBB3,2,C:USDJPY,2024-05-30 05:50:00+00:00,156.92307682499998,2024-06-03 15:55:00+00:00,156,-1,1,0.9230768249999812,102.9034420750001
COKOXB,2,C:USDJPY,2024-05-30 08:00:00+00:00,157.02692557499998,2024-06-03 15:55:00+00:00,156,1,1,-1.0269255749999786,101.87651650000012
AUC3UK,2,C:USDJPY,2024-05-30 08:45:00+00:00,156.987075225,2024-06-03 15:55:00+00:00,156,-1,1,0.9870752250000123,102.86359172500013
1KN2ZT,2,C:USDJPY,2024-05-30 10:05:00+00:00,157.04992614999998,2024-06-03 15:55:00+00:00,156,1,1,-1.0499261499999761,101.81366557500016
LDDC0A,2,C:USDJPY,2024-05-30 10:25:00+00:00,156.99507502499998,2024-06-03 15:55:00+00:00,156,-1,1,0.9950750249999771,102.80874060000014
SLO6O8,2,C:USDJPY,2024-05-31 07:00:00+00:00,157.030925675,2024-06-03 15:55:00+00:00,156,1,1,-1.0309256749999918,101.77781492500014
TBJ3IY,2,C:USDJPY,2024-05-31 12:30:00+00:00,156.969075675,2024-06-03 15:55:00+00:00,156,-1,1,0.9690756749999991,102.74689060000014
1KY1B0,2,C:USDJPY,2024-05-31 12:35:00+00:00,157.02592554999998,2024-06-03 15:55:00+00:00,156,1,1,-1.0259255499999824,101.72096505000016
WSMU6Q,2,C:USDJPY,2024-05-31 12:40:00+00:00,156.8520786,2024-06-03 15:55:00+00:00,156,-1,1,0.8520785999999987,102.57304365000016
23C7C0,2,C:USDJPY,2024-05-31 14:55:00+00:00,157.15992889999998,2024-06-03 15:55:00+00:00,156,1,1,-1.1599288999999828,101.41311475000018
G3VCB2,2,C:USDJPY,2024-06-03 10:05:00+00:00,156.9680757,2024-06-03 15:55:00+00:00,156,-1,1,0.9680757000000142,102.38119045000019
NQ045M,2,C:USDJPY,2024-06-04 06:10:00+00:00,155.91410205,2024-06-04 10:10:00+00:00,155,-1,1,0.9141020499999968,103.29529250000019
PBL7TB,2,C:USDJPY,2024-06-04 06:30:00+00:00,156.02990065,2024-06-04 10:10:00+00:00,155,1,1,-1.0299006500000019,102.26539185000019
5YXBIM,2,C:USDJPY,2024-06-04 06:50:00+00:00,155.98310032499998,2024-06-04 10:10:00+00:00,155,-1,1,0.983100324999981,103.24849217500017
9PZIIO,2,C:USDJPY,2024-06-04 10:20:00+00:00,154.94112637499998,2024-06-05 07:30:00+00:00,156,-1,1,-1.0588736250000181,102.18961855000015
UUWV6B,2,C:USDJPY,2024-06-04 11:05:00+00:00,155.116877825,2024-06-05 07:30:00+00:00,156,1,1,0.8831221750000111,103.07274072500016
N51322,2,C:USDJPY,2024-06-04 11:55:00+00:00,154.865128275,2024-06-05 07:30:00+00:00,156,-1,1,-1.1348717250000107,101.93786900000015
1ITZX4,2,C:USDJPY,2024-06-04 12:45:00+00:00,155.06187644999997,2024-06-05 07:30:00+00:00,156,1,1,0.9381235500000287,102.87599255000018
UUZWIH,2,C:USDJPY,2024-06-04 13:20:00+00:00,154.9121271,2024-06-05 07:30:00+00:00,156,-1,1,-1.0878729000000078,101.78811965000017
J6O1OE,2,C:USDJPY,2024-06-04 13:25:00+00:00,155.016875325,2024-06-05 07:30:00+00:00,156,1,1,0.9831246749999991,102.77124432500017
3N5NER,2,C:USDJPY,2024-06-04 13:30:00+00:00,154.96212585,2024-06-05 07:30:00+00:00,156,-1,1,-1.0378741499999933,101.73337017500018
XMB3QS,2,C:USDJPY,2024-06-04 14:05:00+00:00,155.0198754,2024-06-05 07:30:00+00:00,156,1,1,0.9801246000000106,102.71349477500019
TG64LL,2,C:USDJPY,2024-06-04 14:30:00+00:00,154.9841253,2024-06-05 07:30:00+00:00,156,-1,1,-1.015874700000012,101.69762007500017
49IU3U,2,C:USDJPY,2024-06-04 14:35:00+00:00,155.00787509999998,2024-06-05 07:30:00+00:00,156,1,1,0.9921249000000216,102.6897449750002
GPWY2K,2,C:USDJPY,2024-06-04 14:45:00+00:00,154.87112812499998,2024-06-05 07:30:00+00:00,156,-1,1,-1.1288718750000157,101.56087310000018
IQAB2S,2,C:USDJPY,2024-06-04 23:30:00+00:00,155.0118752,2024-06-05 07:30:00+00:00,156,1,1,0.9881248000000085,102.54899790000019
T3ACEG,2,C:USDJPY,2024-06-05 10:00:00+00:00,155.97910042499998,2024-06-07 14:05:00+00:00,157,-1,1,-1.0208995750000156,101.52809832500017
T5MVDX,2,C:USDJPY,2024-06-05 13:20:00+00:00,155.93610149999998,2024-06-07 14:05:00+00:00,157,-1,1,-1.0638985000000218,100.46419982500015
TGB47B,2,C:USDJPY,2024-06-05 22:45:00+00:00,155.98910017499998,2024-06-07 14:05:00+00:00,157,-1,1,-1.010899825000024,99.45330000000013
PJS6IR,2,C:USDJPY,2024-06-06 09:45:00+00:00,155.97410055,2024-06-07 14:05:00+00:00,157,-1,1,-1.0258994499999972,98.42740055000013
5XDDP9,2,C:USDJPY,2024-06-06 13:35:00+00:00,155.9841003,2024-06-07 14:05:00+00:00,157,-1,1,-1.0158997000000056,97.41150085000012
SNOPAP,2,C:USDJPY,2024-06-06 15:05:00+00:00,155.9841003,2024-06-07 14:05:00+00:00,157,-1,1,-1.0158997000000056,96.39560115000012
