,candle_size,percent_candle_size,parkinson_volatility,shortterm_momentum,momentum,longterm_momentum,extralongterm_momentum,percent2MA_shortterm,percent2MA_longterm
DM1SOF,-0.002999999999985903,-1.9111079967039142e-05,0.003777187238097902,-0.036166666666673564,-0.011222222222215805,0.13365259502924687,0.6007680555555339,-0.00032584387726613753,0.001386433226039642
EBMX73,-0.012999999999976808,-8.280043820524833e-05,0.0035733418484257956,0.013666666666665606,0.032166666666682886,0.12594261695903697,0.5833972222222599,0.00018261892526629637,0.0012118482042435131
1VOX81,-0.01500000000001478,-9.554748710118338e-05,0.0035733418484257956,0.014333333333325982,0.03169444444444025,0.12453234649123601,0.58312916666668,7.4320235276744e-05,0.0011170951831920581
P2SLBM,0.055999999999983174,0.0003566174831720053,0.0035733418484257956,0.025249999999999773,-0.005166666666667652,0.10266575292399693,0.5795444444444229,0.0004603120246561394,0.0012901774550275109
E0Z3KS,-0.011000000000052523,-7.006771088821985e-05,0.0028618183062716625,-0.03249999999999886,-0.004944444444447527,0.10548373538011901,0.6033659722222069,-0.00028125334983345504,0.00026523503609490544
8QLFXQ,-0.020999999999986585,-0.00013374773902623103,0.0028618183062716625,-0.0035833333333528117,-0.030444444444441388,0.09284576023392788,0.6043493055555587,7.696394743302311e-05,0.0003636040246867991
PRPPDZ,0.022000000000048203,0.00014013452914828913,0.0028618183062716625,0.00016666666664377772,-0.032527777777744404,0.09067616959066527,0.6045631944444381,-3.290929878795736e-05,0.00022998320919049363
PY26BW,0.0,0.0,0.0028618183062716625,0.009083333333364862,-0.03177777777779056,0.08886476608188332,0.6049534722222347,0.00011305930517895439,0.0003690853541072793
R9SK2Y,-0.0009999999999763531,-6.369873048279519e-06,0.0028618183062716625,0.008083333333331666,-0.030777777777757365,0.0825639619883134,0.6062243055555427,-3.5563859687307295e-05,0.00018055656639030058
8P0BX4,-0.0049999999999954525,-3.184469976814162e-05,0.0028618183062716625,0.009916666666697438,-0.0310833333333278,0.0542410453216462,0.6087201388888559,0.00027978086840367756,0.0002469679731977595
1HZWYC,0.028999999999996362,0.00018471337579615519,0.0028618183062716625,0.0015833333333148403,0.005805555555582487,0.039597587719299554,0.6114479166666626,2.0701065467788285e-05,0.00011771555383451129
FF3FJE,-0.05099999999998772,-0.0003248904291101042,0.002685193949764957,-0.04208333333332348,0.014527777777772144,0.013265716374235126,0.6190986111111272,-0.0005714167474449987,-0.000239319361759136
DPI31W,-0.0009999999999763531,-6.369305044975913e-06,0.0026045783581219997,-0.038000000000010914,-0.02277777777777601,0.010313779239766063,0.6146340277777824,-0.00012736987575075138,-6.0349946095375444e-05
5H1BG9,-0.007999999999981355,-5.0958984387322404e-05,0.0026045783581219997,-0.008583333333319842,-0.03711111111113041,0.00927284356725977,0.6123979166666516,-0.00012048224744498646,-0.00014650773006835607
3ICXM7,-0.047000000000025466,-0.00029938975450056354,0.0026045783581219997,0.0045833333333575865,-0.054666666666690844,0.005368786549723836,0.6086222222222091,-1.1147366593807733e-05,-0.00016475223099947904
D7713K,-0.0009999999999763531,-6.369305044975913e-06,0.0015089774121235106,0.03249999999997044,0.02861111111113246,-0.009343201754376196,0.08571041666664314,0.0003429985292475892,0.0010638757142373263
JICBB3,0.036000000000001364,0.00022940602955515222,0.004150119712502353,-0.10366666666666902,-0.1386666666666656,-0.04564528508771559,0.38103055555555443,-0.0011075677430443256,-0.0030095032800773977
COKOXB,0.049000000000035016,0.0003120561955894043,0.004364901732405315,0.1596666666666806,-0.0638888888888971,-0.24857255116955912,0.351990972222211,0.0012582974300551174,-0.0022315664979920425
AUC3UK,0.0,0.0,0.004364901732405315,-0.017083333333317796,0.15149999999999864,-0.2905201023391726,0.34685972222220585,-0.00021705661675059583,-0.0024163049328548296
1KN2ZT,-0.0049999999999954525,-3.183780548371466e-05,0.004364901732405315,0.05283333333332507,-0.0030277777777882875,-0.3663170687134425,0.3332770833333143,0.0007381202466915221,-0.0019935967215242486
LDDC0A,-0.036000000000001364,-0.0002293008235721334,0.004364901732405315,0.07508333333336736,-0.005527777777757592,-0.3811301169590706,0.32962361111111704,0.00020014748268090725,-0.00227490537703468
SLO6O8,-0.022999999999996135,-0.0001464716258987062,0.004691057007369441,0.027166666666687433,0.10297222222220626,-0.018303545321629144,-0.20423611111112905,0.0006680594307369748,0.001488709799824965
TBJ3IY,0.049999999999954525,0.00031852611595595753,0.004691057007369441,-0.057833333333348946,-0.07713888888889642,0.2948433845029399,-0.1448173611111372,-0.000976919870295461,0.0007137642772502432
1KY1B0,-0.16800000000000637,-0.0010699137700450024,0.004691057007369441,-0.08141666666665515,-0.08205555555556998,0.2957430555555334,-0.14384513888887795,-0.0005903328618095706,0.0010199605288245244
